epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.303,5.88862,11.281,4.20586,0,0,0,0,6.54052,21.361,4.17318,9.282e-05,9.282e-05,9.282e-05
2,19.7419,5.98605,13.1229,4.00179,0,0,0,0,6.54421,21.5126,4.18653,0.000187337,0.000187337,0.000187337
3,29.1338,5.90144,11.4714,4.13362,0,0,0,0,6.5505,21.766,4.20454,0.000279945,0.000279945,0.000279945
4,38.446,5.75767,11.4177,4.04875,0,0,0,0,6.56511,22.4717,4.24217,0.000346397,0.000346397,0.000346397
5,47.7179,5.45646,9.4531,3.93577,0,0,0,0,6.57286,23.0068,4.26139,0.000342863,0.000342863,0.000342863
6,57.4629,5.30428,11.688,3.85833,0,0,0,0,6.55696,22.661,4.21635,0.000339329,0.000339329,0.000339329
7,66.7627,4.27059,7.86585,3.60159,0,0,0,0,6.03977,19.2183,3.83193,0.000335794,0.000335794,0.000335794
8,75.9673,4.73498,11.2284,3.55311,0,0,0,0,5.18872,18.5701,3.63658,0.00033226,0.00033226,0.00033226
9,85.5525,4.14895,8.41244,3.52655,0.0004,0.00909,0.00026,8e-05,4.92566,19.0639,3.47781,0.000328726,0.000328726,0.000328726
10,94.562,3.98716,7.927,3.49429,0.00074,0.03636,0.00099,0.00026,4.8525,18.2498,3.39775,0.000325191,0.000325191,0.000325191
11,103.881,3.91568,8.0888,3.39797,0.00048,0.04545,0.00048,0.00015,4.312,14.401,3.20221,0.000321657,0.000321657,0.000321657
12,112.691,3.66849,7.41849,3.20422,0.0004,0.05455,0.00091,0.00032,4.14775,13.3941,3.1293,0.000318123,0.000318123,0.000318123
13,122.302,3.62,6.54405,3.20199,0.90501,0.02727,0.00327,0.00067,3.77263,10.9518,2.96856,0.000314588,0.000314588,0.000314588
14,131.394,3.54838,7.15369,2.91512,0.0003,0.08182,0.0018,0.00062,3.67905,10.2842,2.77582,0.000311054,0.000311054,0.000311054
15,140.654,3.47128,7.13707,2.91005,0.00029,0.07273,0.0009,0.00033,3.5728,10.4967,2.6687,0.00030752,0.00030752,0.00030752
16,149.558,3.36114,5.96081,2.81771,0.00026,0.07273,0.00069,0.00019,3.5632,10.6905,2.5705,0.000303986,0.000303986,0.000303986
17,158.89,3.01753,5.5869,2.63176,0.00124,0.11515,0.00206,0.00043,3.46361,10.2476,2.44197,0.000300451,0.000300451,0.000300451
18,167.954,3.10343,5.39977,2.60568,0.80113,0.02727,0.00194,0.00059,3.40832,9.53356,2.35494,0.000296917,0.000296917,0.000296917
19,177.131,3.09854,5.91053,2.43575,0.80162,0.02727,0.00201,0.00066,3.47623,10.0017,2.31974,0.000293383,0.000293383,0.000293383
20,186.176,3.12987,5.66655,2.54174,0.90262,0.00909,0.0024,0.00095,3.2208,8.92887,2.24481,0.000289848,0.000289848,0.000289848
21,195.747,2.85219,4.81889,2.4554,0.91022,0.01818,0.00596,0.00207,3.138,8.16121,2.21675,0.000286314,0.000286314,0.000286314
22,204.934,2.81423,4.46983,2.37759,0.9214,0.01818,0.00899,0.00294,3.14672,8.45881,2.19935,0.00028278,0.00028278,0.00028278
23,214.454,2.95152,5.13866,2.42952,0.92573,0.03636,0.01786,0.00555,3.00108,7.91806,2.11779,0.000279245,0.000279245,0.000279245
24,223.77,2.95972,4.79342,2.39632,0.73343,0.05657,0.02567,0.00692,2.98956,8.39154,2.0705,0.000275711,0.000275711,0.000275711
25,233.188,2.77182,4.36086,2.2761,0.74885,0.05425,0.03023,0.00833,3.01294,8.85849,2.07582,0.000272177,0.000272177,0.000272177
26,242.474,2.58885,4.32319,2.2572,0.72807,0.06768,0.03188,0.00902,2.97408,8.298,2.00501,0.000268642,0.000268642,0.000268642
27,251.898,2.78675,4.6047,2.07156,0.71758,0.03636,0.01505,0.00407,3.09432,7.84051,2.00462,0.000265108,0.000265108,0.000265108
28,261.122,2.70679,4.28779,2.21828,0.73308,0.01818,0.01775,0.00458,3.16296,7.5698,2.02876,0.000261574,0.000261574,0.000261574
29,270.853,2.65377,5.03533,2.14801,0.83312,0.02704,0.01997,0.00469,3.16022,7.83638,2.00586,0.00025804,0.00025804,0.00025804
