epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4959,6.05888,17.3544,4.20915,0,0,0,0,6.08124,10.0414,4.16069,2.856e-05,2.856e-05,2.856e-05
2,69.5459,5.89444,16.8853,4.19925,0,0,0,0,6.08172,10.0528,4.16177,5.46817e-05,5.46817e-05,5.46817e-05
3,104.746,6.00234,15.4365,4.17631,0,0,0,0,6.08132,10.0477,4.16123,7.44416e-05,7.44416e-05,7.44416e-05
4,144.998,5.9004,13.8728,4.18748,0,0,0,0,6.08021,10.0418,4.15925,8.78399e-05,8.78399e-05,8.78399e-05
