epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02318,4.70918,12.1859,3.23249,0,0,0,0,6.09901,10.3686,4.08951,5.712e-05,5.712e-05,5.712e-05
2,13.2241,4.49921,12.7188,2.958,0,0,0,0,6.12311,10.4662,4.11601,0.000116644,0.000116644,0.000116644
3,19.29,4.54934,11.0474,2.833,0,0,0,0,5.96456,11.0194,4.00444,0.000174966,0.000174966,0.000174966
4,25.7315,3.90825,9.3441,2.93382,0,0,0,0,5.2626,11.4536,3.65066,0.000232086,0.000232086,0.000232086
5,31.9325,3.80395,9.12335,2.62288,0,0,0,0,3.65637,9.34239,3.06738,0.000288005,0.000288005,0.000288005
6,38.2211,3.52502,7.41597,2.52689,0,0,0,0,3.37365,6.8808,2.61507,0.000339329,0.000339329,0.000339329
7,44.4631,3.40024,8.86979,2.32383,0.00114,0.01316,0.00066,0.0002,3.25826,6.58892,2.49013,0.000335794,0.000335794,0.000335794
8,50.538,3.15695,7.25163,2.30841,0.00296,0.03947,0.00218,0.0005,3.16714,6.43606,2.41697,0.00033226,0.00033226,0.00033226
9,56.7915,3.05203,8.18305,2.15081,0.00681,0.08699,0.0068,0.002,3.12292,6.42314,2.3683,0.000328726,0.000328726,0.000328726
10,63.043,3.12599,6.57679,2.23544,0.00636,0.07383,0.0058,0.00187,2.95754,6.38958,2.32835,0.000325191,0.000325191,0.000325191
11,69.0807,3.08619,6.11354,2.13026,0.00589,0.08041,0.00588,0.00142,2.87096,6.25974,2.32278,0.000321657,0.000321657,0.000321657
12,75.2603,3.05672,7.28921,1.9963,0.00507,0.08772,0.00412,0.00111,2.84472,6.16947,2.31633,0.000318123,0.000318123,0.000318123
13,81.4946,3.01857,6.49827,2.11602,0.00587,0.11045,0.00426,0.00132,2.82171,6.01552,2.33345,0.000314588,0.000314588,0.000314588
14,87.502,3.03133,6.78531,2.10665,0.00754,0.13317,0.00694,0.0024,2.74869,5.9276,2.30989,0.000311054,0.000311054,0.000311054
15,93.7768,2.87767,5.85474,2.10618,0.03246,0.16753,0.02835,0.01295,2.66664,5.93501,2.2739,0.00030752,0.00030752,0.00030752
16,100.022,2.99732,6.01635,2.10806,0.01938,0.15617,0.07413,0.0332,2.62817,5.74772,2.23634,0.000303986,0.000303986,0.000303986
17,106.174,2.94065,5.89953,1.95089,0.01019,0.14228,0.05653,0.02885,2.57962,5.61786,2.20263,0.000300451,0.000300451,0.000300451
18,112.402,2.94353,6.39682,2.07906,0.008,0.18647,0.02675,0.01475,2.56883,5.50976,2.19582,0.000296917,0.000296917,0.000296917
19,118.668,2.90575,6.38431,1.85313,0.008,0.22415,0.0207,0.00927,2.4733,5.37929,2.16724,0.000293383,0.000293383,0.000293383
20,124.723,2.87793,5.91749,2.01325,0.00818,0.23804,0.0185,0.00813,2.38549,5.30861,2.13637,0.000289848,0.000289848,0.000289848
21,131.05,2.75692,5.49786,2.16767,0.13882,0.10639,0.01668,0.00639,2.39049,5.10717,2.0974,0.000286314,0.000286314,0.000286314
22,137.328,2.86044,6.38932,1.82411,0.01065,0.34011,0.0185,0.007,2.42626,5.0339,2.10487,0.00028278,0.00028278,0.00028278
23,143.334,2.75807,5.46193,1.95274,0.01278,0.34895,0.02995,0.00855,2.47712,4.98168,2.14124,0.000279245,0.000279245,0.000279245
24,149.597,2.88006,5.6986,1.90013,0.19745,0.02452,0.0348,0.0106,2.42404,4.94989,2.1035,0.000275711,0.000275711,0.000275711
25,156.783,2.8095,6.36283,2.01079,0.1499,0.04499,0.03432,0.01215,2.37261,4.84479,2.04309,0.000272177,0.000272177,0.000272177
26,162.765,2.74602,5.4974,1.86125,0.16289,0.03768,0.02939,0.01114,2.35883,4.80566,2.00137,0.000268642,0.000268642,0.000268642
27,169.044,2.69901,5.63411,1.85166,0.17103,0.04426,0.03005,0.01297,2.37301,4.83225,1.99694,0.000265108,0.000265108,0.000265108
28,175.345,2.56196,4.82078,1.80755,0.16699,0.05084,0.03292,0.014,2.39684,4.86807,2.02549,0.000261574,0.000261574,0.000261574
29,181.624,2.60309,5.52024,1.91123,0.17298,0.06473,0.03221,0.01396,2.3986,4.81353,1.98916,0.00025804,0.00025804,0.00025804
30,188.286,2.61397,4.82623,1.90001,0.16029,0.06473,0.03215,0.01473,2.41442,4.75442,1.99462,0.000254505,0.000254505,0.000254505
31,194.776,2.64367,5.06822,1.87195,0.28886,0.04562,0.02916,0.01238,2.37707,4.63745,1.95726,0.000250971,0.000250971,0.000250971
32,200.868,2.71648,5.26211,1.79691,0.40774,0.04681,0.02755,0.01151,2.36613,4.60274,1.92332,0.000247437,0.000247437,0.000247437
33,207.14,2.54851,4.91434,1.81383,0.41664,0.02705,0.02853,0.01233,2.33897,4.58715,1.88415,0.000243902,0.000243902,0.000243902
34,213.506,2.58895,4.77217,1.83956,0.41567,0.05994,0.03606,0.01656,2.27819,4.55497,1.86226,0.000240368,0.000240368,0.000240368
35,219.606,2.57161,4.69993,1.80116,0.30535,0.03947,0.04384,0.02089,2.24468,4.58683,1.85403,0.000236834,0.000236834,0.000236834
36,225.987,2.61716,4.7881,1.74848,0.3075,0.03947,0.05112,0.02308,2.2264,4.57576,1.85522,0.000233299,0.000233299,0.000233299
37,232.196,2.58071,4.75806,1.79627,0.3005,0.03947,0.05132,0.02128,2.23715,4.55529,1.86649,0.000229765,0.000229765,0.000229765
38,238.541,2.32281,4.86347,1.66358,0.42888,0.04426,0.0518,0.02008,2.3225,4.54381,1.89257,0.000226231,0.000226231,0.000226231
39,244.872,2.71069,4.48564,1.74921,0.42828,0.04426,0.05475,0.02228,2.32805,4.54844,1.90465,0.000222697,0.000222697,0.000222697
