epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3769,5.05042,12.7273,3.93016,0,0,0,0,6.54145,21.3957,4.17608,9.282e-05,9.282e-05,9.282e-05
2,19.4171,5.25306,12.419,3.95331,0,0,0,0,6.54917,21.7184,4.20314,0.000170478,0.000170478,0.000170478
3,28.9187,5.3572,11.2675,4.04908,0,0,0,0,6.56012,22.1787,4.23813,0.000229051,0.000229051,0.000229051
4,38.0066,4.89938,10.9981,3.91019,0,0,0,0,6.57654,23.0034,4.28982,0.000250971,0.000250971,0.000250971
5,48.2084,4.85137,12.623,3.6764,0,0,0,0,6.58841,23.6791,4.33038,0.000215628,0.000215628,0.000215628
6,57.7085,4.74457,11.9039,3.82778,0,0,0,0,6.58864,23.7367,4.33275,0.000180285,0.000180285,0.000180285
7,66.1923,4.76481,12.6597,3.81005,0,0,0,0,6.50365,22.0958,4.17992,0.000144942,0.000144942,0.000144942
8,72.2353,4.55762,11.2193,3.74898,0,0,0,0,6.08368,20.281,3.96181,0.000109599,0.000109599,0.000109599
9,78.2641,4.72449,11.6335,3.80226,0,0,0,0,5.96856,19.7999,3.87901,7.4256e-05,7.4256e-05,7.4256e-05
10,84.2503,4.37586,12.3257,3.6757,0,0,0,0,5.80557,19.0886,3.83295,3.8913e-05,3.8913e-05,3.8913e-05
