epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0388,5.04478,11.3026,3.84309,0,0,0,0,6.553,21.8034,4.22448,9.282e-05,9.282e-05,9.282e-05
2,20.0142,5.13807,11.2603,3.82067,0,0,0,0,6.56034,22.0731,4.24842,0.000170478,0.000170478,0.000170478
3,29.3718,5.26985,10.2911,3.8221,0,0,0,0,6.55549,21.8753,4.22964,0.000229051,0.000229051,0.000229051
4,38.691,4.62584,10.0925,3.72331,0,0,0,0,6.44378,20.0821,3.9819,0.000250971,0.000250971,0.000250971
5,47.8746,4.56333,11.1472,3.47394,0,0,0,0,5.87791,17.0956,3.57431,0.000215628,0.000215628,0.000215628
6,57.3294,4.15436,10.581,3.57051,0,0,0,0,5.34495,15.7814,3.40957,0.000180285,0.000180285,0.000180285
7,65.7745,4.38979,10.8595,3.57238,0,0,0,0,4.99884,14.3313,3.33731,0.000144942,0.000144942,0.000144942
8,71.772,4.19428,10.2115,3.45085,0,0,0,0,4.80832,13.6999,3.26776,0.000109599,0.000109599,0.000109599
9,77.7552,4.15315,10.0435,3.38361,0,0,0,0,4.75125,13.2991,3.24346,7.4256e-05,7.4256e-05,7.4256e-05
10,83.7052,3.9542,10.1136,3.45306,0,0,0,0,4.64721,13.7566,3.22169,3.8913e-05,3.8913e-05,3.8913e-05
