epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0266,4.57843,8.51935,3.50036,0,0,0,0,6.50658,18.9154,4.08797,9.282e-05,9.282e-05,9.282e-05
2,19.2971,3.90893,7.3263,2.8661,0,0,0,0,6.44037,20.0839,3.98785,0.000187337,0.000187337,0.000187337
3,29.0871,3.42849,6.75767,2.83893,0,0,0,0,3.9781,13.2304,2.8002,0.000279945,0.000279945,0.000279945
4,38.3769,3.17483,6.28721,2.68004,0.00131,0.02727,0.00084,0.00025,3.36898,8.44485,2.31141,0.000346397,0.000346397,0.000346397
5,47.6432,3.04615,5.53824,2.57003,0.00327,0.08384,0.00498,0.00132,3.22054,7.42656,2.26256,0.000342863,0.000342863,0.000342863
6,56.9424,3.08736,5.45816,2.42216,0.4078,0.01818,0.01497,0.00236,3.26247,7.59705,2.30047,0.000339329,0.000339329,0.000339329
7,66.2569,2.95315,4.94474,2.45747,0.4016,0.00909,0.00224,0.00056,3.18257,7.79211,2.26501,0.000335794,0.000335794,0.000335794
8,75.4084,2.83189,5.19394,2.21527,0.40454,0.00909,0.00316,0.00104,3.10818,7.89208,2.20503,0.00033226,0.00033226,0.00033226
9,84.6688,2.93307,5.03631,2.29498,0.40421,0.00909,0.00306,0.00103,3.01333,7.71145,2.15665,0.000328726,0.000328726,0.000328726
10,93.9241,2.78242,4.67602,2.27183,0.20119,0.02727,0.00241,0.0011,3.0924,7.10643,2.09781,0.000325191,0.000325191,0.000325191
11,103.354,2.64493,4.48921,2.20794,0.40104,0.00909,0.00223,0.0009,3.00918,7.113,2.00281,0.000321657,0.000321657,0.000321657
12,112.544,2.61772,4.68987,2.09391,0.40877,0.02727,0.00685,0.00213,2.95092,7.33666,1.92663,0.000318123,0.000318123,0.000318123
13,121.88,2.60049,4.13907,2.11806,0.41869,0.01818,0.01328,0.00515,2.85376,6.86351,1.89609,0.000314588,0.000314588,0.000314588
14,131.206,2.60348,4.22602,1.95081,0.44076,0.00909,0.014,0.00616,2.8344,6.63552,1.85391,0.000311054,0.000311054,0.000311054
15,140.437,2.72597,4.24929,2.06375,0.4125,0.00909,0.00989,0.00433,2.85906,6.6289,1.86338,0.00030752,0.00030752,0.00030752
16,149.608,2.52412,3.89985,2.01875,0.03078,0.21063,0.02677,0.01085,2.7905,6.21328,1.82937,0.000303986,0.000303986,0.000303986
17,159.91,2.42664,3.73391,1.92866,0.01931,0.24102,0.01805,0.00526,2.78853,6.09589,1.84201,0.000300451,0.000300451,0.000300451
18,169.206,2.47912,3.72682,1.96314,0.00425,0.21397,0.01137,0.00398,2.78587,6.03226,1.89108,0.000296917,0.000296917,0.000296917
19,178.536,2.4576,4.13376,1.86036,0.00516,0.25046,0.01378,0.00457,2.70801,5.93314,1.83646,0.000293383,0.000293383,0.000293383
20,188.44,2.53117,3.99303,1.97174,0.00955,0.3093,0.02061,0.00885,2.59803,5.5908,1.76766,0.000289848,0.000289848,0.000289848
21,197.99,2.38077,3.62966,1.98728,0.62968,0.00909,0.0181,0.00608,2.529,5.5049,1.74353,0.000286314,0.000286314,0.000286314
22,207.287,2.34501,3.229,1.91282,0.00733,0.3043,0.01415,0.00502,2.58123,5.53676,1.75774,0.00028278,0.00028278,0.00028278
23,216.715,2.47541,3.64592,1.96264,0.00551,0.32199,0.01487,0.00575,2.45276,5.77222,1.67385,0.000279245,0.000279245,0.000279245
24,226.13,2.37882,3.51959,1.86763,0.61466,0.01818,0.02223,0.00761,2.42293,5.57162,1.65257,0.000275711,0.000275711,0.000275711
25,235.409,2.26545,3.2157,1.81338,0.50921,0.04545,0.01966,0.00732,2.43901,5.35289,1.66261,0.000272177,0.000272177,0.000272177
26,245.022,2.23086,3.21108,1.87136,0.00558,0.2993,0.02075,0.00765,2.56962,5.14264,1.73523,0.000268642,0.000268642,0.000268642
27,254.416,2.38199,3.4598,1.73002,0.32016,0.18247,0.02276,0.00915,2.5186,5.10501,1.68629,0.000265108,0.000265108,0.000265108
28,263.846,2.26937,3.25709,1.89066,0.38181,0.08542,0.0284,0.01106,2.49607,5.10626,1.66288,0.000261574,0.000261574,0.000261574
29,273.305,2.25761,3.50642,1.77951,0.31295,0.09153,0.02544,0.0091,2.40994,5.20981,1.62363,0.00025804,0.00025804,0.00025804
30,282.713,2.23694,3.49116,1.80952,0.31271,0.25686,0.02476,0.00933,2.38741,5.13023,1.60492,0.000254505,0.000254505,0.000254505
31,292.139,2.29453,3.26483,1.80081,0.21345,0.26753,0.02661,0.01042,2.4044,5.0683,1.59986,0.000250971,0.000250971,0.000250971
32,301.613,2.11723,2.97962,1.84309,0.33584,0.09951,0.02816,0.01161,2.36478,5.06224,1.58205,0.000247437,0.000247437,0.000247437
33,310.983,2.32245,3.23666,1.83952,0.33692,0.09042,0.03057,0.01042,2.3709,4.97658,1.62178,0.000243902,0.000243902,0.000243902
34,320.492,2.22453,2.96565,1.77992,0.32888,0.08633,0.02622,0.00977,2.39387,5.14116,1.60857,0.000240368,0.000240368,0.000240368
35,330.265,2.2408,3.06479,1.78095,0.33105,0.16481,0.02604,0.01034,2.42614,5.3307,1.58298,0.000236834,0.000236834,0.000236834
36,340.764,2.09679,3.00553,1.66952,0.34162,0.14601,0.02925,0.01072,2.38992,5.41209,1.56612,0.000233299,0.000233299,0.000233299
37,350.217,2.2125,3.23014,1.78985,0.33584,0.10155,0.03262,0.01129,2.35941,5.06129,1.56705,0.000229765,0.000229765,0.000229765
38,359.465,2.11359,2.9174,1.72865,0.33029,0.09833,0.03503,0.0108,2.39991,5.01362,1.57633,0.000226231,0.000226231,0.000226231
39,368.958,2.25006,3.19816,1.65346,0.34908,0.10451,0.03823,0.01424,2.28865,4.86703,1.52253,0.000222697,0.000222697,0.000222697
40,378.386,2.21204,3.1053,1.68443,0.3506,0.07724,0.03923,0.01614,2.30857,4.79811,1.53357,0.000219162,0.000219162,0.000219162
41,387.902,2.18472,2.85987,1.68664,0.36212,0.06315,0.02824,0.01377,2.30647,4.87081,1.54905,0.000215628,0.000215628,0.000215628
42,397.117,2.29086,3.07076,1.8013,0.34774,0.0634,0.03249,0.01098,2.3545,4.86242,1.58236,0.000212094,0.000212094,0.000212094
