epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,406.782,2.27689,3.18721,1.71737,0.35903,0.11902,0.05904,0.01923,2.40004,4.7198,1.58568,0.000208559,0.000208559,0.000208559
44,416.103,2.15386,2.93279,1.65402,0.39354,0.15192,0.07274,0.02409,2.3303,4.67436,1.54943,0.000205025,0.000205025,0.000205025
45,425.595,2.20605,2.78998,1.66595,0.38584,0.14422,0.07033,0.02624,2.23743,4.61934,1.50642,0.000201491,0.000201491,0.000201491
46,435.122,2.16832,3.12774,1.73157,0.36529,0.14692,0.05463,0.01972,2.23026,4.68241,1.49674,0.000197957,0.000197957,0.000197957
47,444.691,2.04324,2.8331,1.62365,0.35596,0.12152,0.05239,0.01872,2.25818,4.70196,1.51409,0.000194422,0.000194422,0.000194422
48,454.03,2.14441,2.72316,1.72891,0.35551,0.10195,0.04764,0.01658,2.26499,4.8238,1.5323,0.000190888,0.000190888,0.000190888
49,463.649,2.10142,2.70906,1.63184,0.36386,0.13075,0.05551,0.0204,2.28727,4.74677,1.5264,0.000187354,0.000187354,0.000187354
50,474.291,2.0648,2.95419,1.67362,0.27846,0.16116,0.06486,0.0253,2.28685,4.66176,1.51673,0.000183819,0.000183819,0.000183819
51,485.136,2.07085,2.85098,1.63123,0.27811,0.17727,0.06984,0.02717,2.27391,4.56941,1.5179,0.000180285,0.000180285,0.000180285
52,494.275,2.13124,2.913,1.71129,0.27665,0.18139,0.07605,0.03018,2.29496,4.51442,1.52743,0.000176751,0.000176751,0.000176751
53,503.878,1.99907,2.72004,1.66864,0.25502,0.14329,0.07794,0.0305,2.28333,4.55773,1.51474,0.000173216,0.000173216,0.000173216
54,513.182,1.99739,2.64373,1.63218,0.25588,0.14484,0.07139,0.02824,2.26636,4.55419,1.50616,0.000169682,0.000169682,0.000169682
55,522.535,2.04727,2.63879,1.64599,0.26319,0.15096,0.06638,0.0274,2.27556,4.72413,1.49197,0.000166148,0.000166148,0.000166148
56,531.628,2.02728,2.7671,1.60398,0.26152,0.13277,0.07097,0.02708,2.28456,4.74756,1.48173,0.000162613,0.000162613,0.000162613
57,542.39,2.12216,2.88593,1.59259,0.26878,0.13792,0.06978,0.02654,2.30402,4.6541,1.48717,0.000159079,0.000159079,0.000159079
58,551.533,2.03554,2.6355,1.65844,0.27006,0.18679,0.07577,0.02873,2.27617,4.50098,1.48306,0.000155545,0.000155545,0.000155545
59,561.052,2.02566,2.61009,1.6429,0.36981,0.16096,0.0794,0.03025,2.25129,4.3659,1.47873,0.000152011,0.000152011,0.000152011
60,570.259,2.0816,2.96927,1.62528,0.37024,0.14484,0.07891,0.03222,2.22168,4.34491,1.47021,0.000148476,0.000148476,0.000148476
61,579.793,2.00174,2.67566,1.61916,0.36386,0.12604,0.0702,0.03087,2.19378,4.40118,1.46652,0.000144942,0.000144942,0.000144942
62,588.818,2.00033,2.55591,1.63218,0.26654,0.17414,0.07453,0.03324,2.17398,4.43208,1.45997,0.000141408,0.000141408,0.000141408
63,598.158,2.06438,2.64158,1.64527,0.26489,0.15914,0.07118,0.03028,2.1772,4.45723,1.46808,0.000137873,0.000137873,0.000137873
64,607.993,1.95437,2.58197,1.58193,0.26064,0.16675,0.07745,0.03065,2.23893,4.55977,1.49083,0.000134339,0.000134339,0.000134339
65,617.428,2.0413,2.34072,1.65521,0.27161,0.18229,0.08321,0.03143,2.26703,4.42062,1.48334,0.000130805,0.000130805,0.000130805
66,627.118,1.98469,2.5746,1.5645,0.3768,0.19294,0.09032,0.03483,2.26341,4.42617,1.46403,0.000127271,0.000127271,0.000127271
67,635.528,1.98479,2.79086,1.58466,0.39043,0.19154,0.09237,0.03543,2.23251,4.4736,1.4555,0.000123736,0.000123736,0.000123736
68,642.152,1.93253,2.67806,1.54239,0.38221,0.16163,0.08625,0.03465,2.14865,4.53284,1.43724,0.000120202,0.000120202,0.000120202
69,648.48,1.97733,2.42328,1.6604,0.38084,0.17572,0.07911,0.03025,2.20206,4.7865,1.44524,0.000116668,0.000116668,0.000116668
70,654.942,1.98412,2.64795,1.56785,0.37723,0.16847,0.0822,0.0308,2.21369,4.77546,1.44677,0.000113133,0.000113133,0.000113133
71,661.315,1.94799,2.65537,1.46945,0.37451,0.17712,0.07959,0.03085,2.20059,4.60453,1.43298,0.000109599,0.000109599,0.000109599
72,667.627,2.02258,2.94506,1.59809,0.26234,0.16033,0.07661,0.02994,2.1887,4.51358,1.42641,0.000106065,0.000106065,0.000106065
73,673.947,2.00513,2.49396,1.55699,0.2586,0.15033,0.07236,0.02867,2.19316,4.49548,1.43007,0.00010253,0.00010253,0.00010253
74,680.49,2.01892,2.77984,1.62546,0.25372,0.15943,0.06645,0.02747,2.1748,4.58466,1.43934,9.89961e-05,9.89961e-05,9.89961e-05
75,687.12,2.08488,2.53756,1.63503,0.25891,0.14124,0.06827,0.02767,2.20084,4.54396,1.47644,9.54618e-05,9.54618e-05,9.54618e-05
76,693.702,1.94973,2.43842,1.66131,0.35719,0.14124,0.06961,0.02867,2.24267,4.50371,1.48959,9.19275e-05,9.19275e-05,9.19275e-05
77,700.085,2.09244,2.6097,1.60691,0.27465,0.16045,0.07855,0.03192,2.23475,4.35816,1.47708,8.83932e-05,8.83932e-05,8.83932e-05
78,706.491,1.9859,2.66553,1.57908,0.48201,0.17432,0.09185,0.03568,2.21203,4.37244,1.44067,8.48589e-05,8.48589e-05,8.48589e-05
79,712.975,2.00607,2.67294,1.52612,0.48739,0.16523,0.0951,0.0369,2.20337,4.30295,1.43595,8.13246e-05,8.13246e-05,8.13246e-05
80,719.325,1.89874,2.51787,1.45001,0.40778,0.18952,0.09776,0.03929,2.18222,4.18285,1.43809,7.77903e-05,7.77903e-05,7.77903e-05
81,725.813,2.02765,2.44448,1.6785,0.29558,0.14754,0.09013,0.03952,2.16666,4.23206,1.43404,7.4256e-05,7.4256e-05,7.4256e-05
82,732.188,1.96431,2.57689,1.53832,0.29858,0.17369,0.09209,0.03948,2.13575,4.19057,1.43224,7.07217e-05,7.07217e-05,7.07217e-05
83,738.66,1.91513,2.42931,1.55161,0.28943,0.15704,0.09061,0.03949,2.13404,4.14251,1.43251,6.71874e-05,6.71874e-05,6.71874e-05
84,745.138,1.85418,2.70308,1.40003,0.3845,0.17683,0.09454,0.04156,2.15937,4.1036,1.43262,6.36531e-05,6.36531e-05,6.36531e-05
85,751.524,1.90164,2.53574,1.54085,0.39013,0.18225,0.09235,0.03876,2.1961,4.1539,1.43318,6.01188e-05,6.01188e-05,6.01188e-05
86,757.946,1.94158,2.45738,1.52598,0.38773,0.16115,0.09465,0.03997,2.2001,4.14688,1.43382,5.65845e-05,5.65845e-05,5.65845e-05
87,764.289,1.99085,2.37154,1.50596,0.38315,0.14232,0.08723,0.03737,2.20512,4.11805,1.43884,5.30502e-05,5.30502e-05,5.30502e-05
88,770.699,1.94873,2.43077,1.57337,0.47821,0.12855,0.09258,0.03763,2.17674,4.05476,1.43629,4.95159e-05,4.95159e-05,4.95159e-05
89,777.126,1.98288,2.412,1.57773,0.38091,0.15004,0.09942,0.04002,2.1621,4.05679,1.43682,4.59816e-05,4.59816e-05,4.59816e-05
90,783.619,1.92047,2.58262,1.54898,0.48681,0.16591,0.10804,0.04371,2.16327,4.03544,1.43673,4.24473e-05,4.24473e-05,4.24473e-05
91,789.931,1.88024,3.08363,1.52323,0.49422,0.15005,0.10252,0.04028,2.19505,4.17428,1.43164,3.8913e-05,3.8913e-05,3.8913e-05
92,796.206,1.90431,3.26653,1.60371,0.4896,0.19362,0.09859,0.03859,2.20544,4.24732,1.43495,3.53787e-05,3.53787e-05,3.53787e-05
93,802.524,1.82525,2.86469,1.57627,0.48706,0.17939,0.09637,0.03831,2.18889,4.24455,1.42782,3.18444e-05,3.18444e-05,3.18444e-05
94,808.783,1.83322,2.99258,1.49731,0.39076,0.17178,0.09701,0.03932,2.20225,4.1129,1.43253,2.83101e-05,2.83101e-05,2.83101e-05
95,815.035,1.84282,2.85533,1.69108,0.4876,0.18221,0.09452,0.03834,2.19231,4.10918,1.42849,2.47758e-05,2.47758e-05,2.47758e-05
96,821.32,1.90502,2.86797,1.6134,0.49108,0.18721,0.094,0.03681,2.17359,4.05059,1.42307,2.12415e-05,2.12415e-05,2.12415e-05
97,827.644,1.91016,2.92314,1.56876,0.49052,0.19631,0.08448,0.03229,2.16093,4.06973,1.42281,1.77072e-05,1.77072e-05,1.77072e-05
98,833.964,1.81321,2.77729,1.62115,0.4781,0.16841,0.08618,0.03083,2.15616,4.04752,1.41819,1.41729e-05,1.41729e-05,1.41729e-05
99,840.17,1.87464,2.86269,1.66362,0.48535,0.15303,0.0944,0.0354,2.15906,3.95948,1.41718,1.06386e-05,1.06386e-05,1.06386e-05
100,846.401,1.87054,2.83836,1.61696,0.49014,0.18166,0.09686,0.03629,2.16697,3.99146,1.4202,7.1043e-06,7.1043e-06,7.1043e-06
