epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.55141,5.62475,17.413,3.88525,0,0,0,0,6.14868,11.1845,4.16256,5.712e-05,5.712e-05,5.712e-05
2,13.2844,5.19173,17.7764,3.66859,0,0,0,0,6.14941,11.1889,4.16461,0.000106147,0.000106147,0.000106147
3,19.4449,5.37731,18.4227,3.70577,0,0,0,0,6.15054,11.2015,4.16817,0.000143157,0.000143157,0.000143157
4,25.6259,5.32273,16.8755,3.72013,0,0,0,0,6.15118,11.2062,4.16966,0.000168151,0.000168151,0.000168151
5,31.7429,5.13608,16.5392,3.59215,0,0,0,0,6.15194,11.2112,4.17117,0.000181128,0.000181128,0.000181128
6,38.0261,6.02492,17.7433,4.00763,0,0,0,0,6.15447,11.2275,4.17393,0.000180285,0.000180285,0.000180285
7,45.1512,5.67388,16.0584,3.98829,0,0,0,0,6.15586,11.2351,4.17446,0.000144942,0.000144942,0.000144942
8,51.4675,5.462,19.0203,3.73182,0,0,0,0,6.15678,11.25,4.17304,0.000109599,0.000109599,0.000109599
9,57.6165,5.15767,17.3655,3.62181,0,0,0,0,6.15292,11.2579,4.163,7.4256e-05,7.4256e-05,7.4256e-05
10,63.7587,4.92161,20.1831,3.28997,0,0,0,0,6.14487,11.2217,4.14587,3.8913e-05,3.8913e-05,3.8913e-05
