epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38762,5.51172,15.1744,3.7727,0,0,0,0,6.14888,11.1835,4.16302,5.712e-05,5.712e-05,5.712e-05
2,13.4847,5.20394,19.4181,3.41686,0,0,0,0,6.14935,11.1899,4.16422,0.000116644,0.000116644,0.000116644
3,19.7947,5.36186,23.648,3.44694,0,0,0,0,6.14749,11.1822,4.16004,0.000174966,0.000174966,0.000174966
4,25.9994,5.86283,16.7507,3.93696,0,0,0,0,6.14426,11.162,4.15275,0.000232086,0.000232086,0.000232086
5,32.0536,5.57669,22.9203,3.72097,0,0,0,0,6.13931,11.1307,4.14184,0.000288005,0.000288005,0.000288005
6,38.4622,5.81561,17.6341,3.82671,0,0,0,0,6.11777,10.9962,4.09442,0.000339329,0.000339329,0.000339329
7,44.5741,5.33258,19.5621,3.488,0,0,0,0,6.09524,10.8685,4.04938,0.000335794,0.000335794,0.000335794
8,50.9721,5.47679,20.1598,3.56184,0,0,0,0,6.06475,10.7068,3.99258,0.00033226,0.00033226,0.00033226
9,57.5191,5.85096,19.0739,3.72479,0,0,0,0,6.02243,10.5273,3.92262,0.000328726,0.000328726,0.000328726
10,63.5488,6.31069,16.9066,4.04061,0,0,0,0,5.967,10.3362,3.84977,0.000325191,0.000325191,0.000325191
11,69.7277,5.7682,16.6997,3.67269,0,0,0,0,5.89379,10.1626,3.78131,0.000321657,0.000321657,0.000321657
12,75.9773,5.25859,20.8327,3.41444,0,0,0,0,5.83383,10.1331,3.75287,0.000318123,0.000318123,0.000318123
13,82.0666,4.7898,18.1474,3.2066,0,0,0,0,5.78809,10.2673,3.7761,0.000314588,0.000314588,0.000314588
14,88.2404,5.66087,15.9024,3.61374,0,0,0,0,5.80842,10.4896,3.84894,0.000311054,0.000311054,0.000311054
15,94.4583,5.57353,13.1744,3.56895,0,0,0,0,5.78767,10.7348,3.9229,0.00030752,0.00030752,0.00030752
